Label,Frame Index,Time Stamp,Confidence
bird,1745,58.17,0.31
bird,1746,58.20,0.31
bird,1747,58.23,0.41
bird,1748,58.27,0.31
bird,1749,58.30,0.40
bird,1750,58.33,0.44
bird,1751,58.37,0.44
bird,1752,58.40,0.29
bird,1753,58.43,0.38
bird,1754,58.47,0.32
bird,1755,58.50,0.39
bird,1756,58.53,0.30
bird,1757,58.57,0.33
bird,1758,58.60,0.27
bird,1759,58.63,0.36
bird,1760,58.67,0.39
bird,1761,58.70,0.28
bird,1762,58.73,0.38
bird,1763,58.77,0.31
bird,1764,58.80,0.29
bird,1765,58.83,0.29
bird,1766,58.87,0.29
bird,1767,58.90,0.32
bird,1768,58.93,0.29
bird,1769,58.97,0.29
bird,1770,59.00,0.29
bird,1771,59.03,0.30
bird,1772,59.07,0.38
bird,1773,59.10,0.38
bird,1774,59.13,0.33
bird,1777,59.23,0.39
bird,1778,59.27,0.58
bird,1779,59.30,0.69
bird,1780,59.33,0.61
bird,1781,59.37,0.58
bird,1782,59.40,0.60
bird,1783,59.43,0.60
bird,1784,59.47,0.69
bird,1785,59.50,0.64
bird,1786,59.53,0.76
bird,1787,59.57,0.78
bird,1788,59.60,0.71
bird,1789,59.63,0.71
bird,1790,59.67,0.55
bird,1791,59.70,0.70
bird,1792,59.73,0.64
bird,1793,59.77,0.66
bird,1794,59.80,0.63
bird,1795,59.83,0.60
bird,1796,59.87,0.44
bird,1797,59.90,0.57
bird,1798,59.93,0.60
bird,1799,59.97,0.57
bird,1800,60.00,0.59
bird,1801,60.03,0.46
bird,1803,60.10,0.33
bird,1804,60.13,0.34
bird,1805,60.17,0.43
bird,1807,60.23,0.40
bird,1808,60.27,0.38
bird,1809,60.30,0.48
bird,1810,60.33,0.58
bird,1811,60.37,0.63
bird,1812,60.40,0.55
bird,1813,60.43,0.54
bird,1814,60.47,0.52
bird,1815,60.50,0.62
bird,1816,60.53,0.58
bird,1817,60.57,0.54
bird,1818,60.60,0.52
bird,1819,60.63,0.57
bird,1820,60.67,0.54
bird,1821,60.70,0.60
bird,1822,60.73,0.56
bird,1823,60.77,0.60
bird,1824,60.80,0.49
bird,1825,60.83,0.36
bird,1826,60.87,0.47
bird,1827,60.90,0.47
bird,1828,60.93,0.38
bird,1830,61.00,0.70
